newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  2 832.334 0.00000 -3.12789e-15
  3 832.334 0.00000 1.37286e-14
  4 832.334 0.00000 9.52202e-16
  5 832.334 0.00000 6.52773e-14
  6 832.334 0.00000 6.84388e-14
  7 832.334 0.00000 -2.89120e-14
  8 832.334 0.00000 -1.46394e-14
  9 832.334 0.00000 -3.53111e-14
  10 832.334 0.00000 -2.56855e-14
  11 832.334 0.00000 6.05807e-15
  12 832.334 0.00000 1.78002e-15
</Section>

newXOutput 22

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 873.009 0.00000 4.50181e-14
  2 873.009 0.00000 3.59377e-14
  3 873.009 0.00000 1.71505e-14
  4 873.009 0.00000 1.42318e-14
  5 873.009 0.00000 2.89130e-16
  6 873.009 0.00000 -1.63142e-15
  7 873.009 0.00000 8.80942e-14
  8 873.009 0.00000 8.30482e-14
  9 873.009 0.00000 6.31590e-14
  10 873.009 0.00000 1.35915e-13
  11 873.009 0.00000 -5.94250e-14
  12 873.009 0.00000 1.30795e-13
</Section>

newXOutput 23

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 913.601 0.00000 8.32559e-15
  2 913.601 0.00000 -6.07736e-15
  3 913.601 0.00000 2.00187e-14
  4 913.601 0.00000 1.44267e-14
  5 913.601 0.00000 3.97366e-14
  6 913.601 0.00000 3.64131e-14
  7 913.601 0.00000 3.93097e-14
  8 913.601 0.00000 3.59467e-14
  9 913.601 0.00000 1.47432e-13
  10 913.601 0.00000 1.42073e-13
  11 913.601 0.00000 1.30193e-13
  12 913.601 0.00000 4.68178e-14
</Section>

newXOutput 24

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 954.112 0.00000 1.30223e-13
  2 954.112 0.00000 1.84818e-13
  3 954.112 0.00000 -3.38354e-13
  4 954.112 0.00000 -3.24342e-13
  5 954.112 0.00000 2.76332e-13
  6 954.112 0.00000 2.39245e-13
  7 954.112 0.00000 -2.58248e-14
  8 954.112 0.00000 -6.88566e-14
  9 954.112 0.00000 -4.36409e-13
  10 954.112 0.00000 -4.81806e-13
  11 954.112 0.00000 -4.86007e-14
  12 954.112 0.00000 -1.25273e-13
</Section>

newXOutput 25

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 994.542 0.00000 1.34119e-13
  2 994.542 0.00000 1.55680e-13
  3 994.542 0.00000 -1.63892e-13
  4 994.542 0.00000 -1.54380e-13
  5 994.542 0.00000 3.99109e-14
  6 994.542 0.00000 3.80084e-14
  7 994.542 0.00000 -2.53498e-13
  8 994.542 0.00000 -2.42726e-13
  9 994.542 0.00000 -3.89783e-15
  10 994.542 0.00000 -4.53039e-15
  11 994.542 0.00000 4.69940e-14
  12 994.542 0.00000 2.29172e-14
</Section>

newXOutput 26

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1034.89 0.00000 6.98671e-14
  2 1034.89 0.00000 8.74895e-14
  3 1034.89 0.00000 -1.53090e-13
  4 1034.89 0.00000 -1.42391e-13
  5 1034.89 0.00000 -5.15055e-14
  6 1034.89 0.00000 -5.83030e-14
  7 1034.89 0.00000 -1.55543e-13
  8 1034.89 0.00000 -1.55750e-13
  9 1034.89 0.00000 4.61748e-14
  10 1034.89 0.00000 1.75678e-14
  11 1034.89 0.00000 1.14844e-13
  12 1034.89 0.00000 7.54609e-14
</Section>

newXOutput 27

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1075.16 0.00000 5.72330e-14
  2 1075.16 0.00000 7.57275e-14
  3 1075.16 0.00000 -2.45915e-14
  4 1075.16 0.00000 -1.64597e-14
  5 1075.16 0.00000 5.95476e-14
  6 1075.16 0.00000 7.03378e-14
  7 1075.16 0.00000 -4.05941e-14
  8 1075.16 0.00000 5.52907e-15
  9 1075.16 0.00000 -9.38134e-14
  10 1075.16 0.00000 -3.98136e-14
  11 1075.16 0.00000 -4.14668e-14
  12 1075.16 0.00000 -1.23422e-14
</Section>

newXOutput 28

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1115.36 0.00000 6.65792e-14
  2 1115.36 0.00000 8.40717e-14
  3 1115.36 0.00000 -4.20322e-14
  4 1115.36 0.00000 -1.88861e-14
  5 1115.36 0.00000 -5.19513e-15
  6 1115.36 0.00000 -1.92486e-14
  7 1115.36 0.00000 6.14758e-14
  8 1115.36 0.00000 4.11566e-14
  9 1115.36 0.00000 1.98115e-13
  10 1115.36 0.00000 2.14782e-13
  11 1115.36 0.00000 -9.73734e-14
  12 1115.36 0.00000 -5.94192e-14
</Section>

newXOutput 29

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1155.47 0.00000 9.06887e-14
  2 1155.47 0.00000 -2.39569e-14
  3 1155.47 0.00000 -3.10187e-14
  4 1155.47 0.00000 -6.79408e-14
  5 1155.47 0.00000 2.03828e-14
  6 1155.47 0.00000 4.94526e-14
  7 1155.47 0.00000 1.62261e-13
  8 1155.47 0.00000 1.32605e-13
  9 1155.47 0.00000 -4.05154e-13
  10 1155.47 0.00000 -4.68400e-13
  11 1155.47 0.00000 2.29854e-13
  12 1155.47 0.00000 2.32250e-13
</Section>

newXOutput 30

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1195.51 0.00000 5.94423e-14
  2 1195.51 0.00000 3.88179e-14
  3 1195.51 0.00000 1.57669e-14
  4 1195.51 0.00000 7.80677e-15
  5 1195.51 0.00000 1.00095e-13
  6 1195.51 0.00000 9.57688e-14
  7 1195.51 0.00000 1.07950e-14
  8 1195.51 0.00000 -1.09901e-14
  9 1195.51 0.00000 1.86180e-13
  10 1195.51 0.00000 1.69682e-13
  11 1195.51 0.00000 4.94000e-14
  12 1195.51 0.00000 1.32754e-15
</Section>

newXOutput 31

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1235.48 0.00000 6.65479e-14
  2 1235.48 0.00000 4.71740e-14
  3 1235.48 0.00000 -1.96891e-14
  4 1235.48 0.00000 -2.75598e-14
  5 1235.48 0.00000 2.24310e-14
  6 1235.48 0.00000 1.81282e-14
  7 1235.48 0.00000 1.64242e-13
  8 1235.48 0.00000 1.53210e-13
  9 1235.48 0.00000 4.14035e-15
  10 1235.48 0.00000 1.01341e-15
  11 1235.48 0.00000 -1.47822e-13
  12 1235.48 0.00000 -1.51220e-13
</Section>

newXOutput 32

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1275.36 0.00000 1.65068e-14
  2 1275.36 0.00000 2.00681e-14
  3 1275.36 0.00000 -9.94766e-15
  4 1275.36 0.00000 -9.30959e-15
  5 1275.36 0.00000 4.15831e-14
  6 1275.36 0.00000 3.55016e-14
  7 1275.36 0.00000 1.55791e-13
  8 1275.36 0.00000 1.26457e-13
  9 1275.36 0.00000 -2.34081e-14
  10 1275.36 0.00000 -2.64758e-14
  11 1275.36 0.00000 7.13586e-14
  12 1275.36 0.00000 1.03556e-13
</Section>

newXOutput 33

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1315.18 0.00000 7.85513e-14
  2 1315.18 0.00000 7.49735e-14
  3 1315.18 0.00000 -1.41237e-14
  4 1315.18 0.00000 -1.52730e-14
  5 1315.18 0.00000 -1.45623e-13
  6 1315.18 0.00000 -1.38474e-13
  7 1315.18 0.00000 -7.22528e-14
  8 1315.18 0.00000 -4.97960e-14
  9 1315.18 0.00000 -2.88609e-13
  10 1315.18 0.00000 -2.91805e-13
  11 1315.18 0.00000 -4.79972e-14
  12 1315.18 0.00000 -8.27949e-14
</Section>

newXOutput 34

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1354.92 0.00000 -1.02893e-14
  2 1354.92 0.00000 8.17841e-14
  3 1354.92 0.00000 7.05514e-14
  4 1354.92 0.00000 1.37869e-13
  5 1354.92 0.00000 2.71027e-13
  6 1354.92 0.00000 2.56780e-13
  7 1354.92 0.00000 -4.92551e-13
  8 1354.92 0.00000 -5.28837e-13
  9 1354.92 0.00000 4.75925e-13
  10 1354.92 0.00000 5.23721e-13
  11 1354.92 0.00000 -1.95005e-14
  12 1354.92 0.00000 -2.70733e-14
</Section>

newXOutput 35

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1394.60 0.00000 2.42232e-14
  2 1394.60 0.00000 3.01648e-14
  3 1394.60 0.00000 -3.26402e-14
  4 1394.60 0.00000 -2.73104e-14
  5 1394.60 0.00000 -5.73696e-14
  6 1394.60 0.00000 -6.21656e-14
  7 1394.60 0.00000 1.34830e-13
  8 1394.60 0.00000 1.00818e-13
  9 1394.60 0.00000 9.20708e-14
  10 1394.60 0.00000 9.25374e-15
  11 1394.60 0.00000 -2.80518e-13
  12 1394.60 0.00000 -3.93683e-13
</Section>

newXOutput 36

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1434.20 0.00000 8.86342e-14
  2 1434.20 0.00000 8.51445e-14
  3 1434.20 0.00000 1.39823e-14
  4 1434.20 0.00000 1.86352e-14
  5 1434.20 0.00000 3.77696e-14
  6 1434.20 0.00000 2.48590e-14
  7 1434.20 0.00000 4.47485e-14
  8 1434.20 0.00000 2.92780e-14
  9 1434.20 0.00000 -6.17190e-14
  10 1434.20 0.00000 2.86091e-14
  11 1434.20 0.00000 -1.77947e-13
  12 1434.20 0.00000 1.59893e-14
</Section>

newXOutput 37

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1473.73 0.00000 2.41158e-14
  2 1473.73 0.00000 2.46171e-14
  3 1473.73 0.00000 -2.96279e-14
  4 1473.73 0.00000 -6.68473e-15
  5 1473.73 0.00000 -5.22095e-14
  6 1473.73 0.00000 -6.21413e-14
  7 1473.73 0.00000 1.09093e-13
  8 1473.73 0.00000 9.94544e-14
  9 1473.73 0.00000 1.31692e-13
  10 1473.73 0.00000 1.29938e-13
  11 1473.73 0.00000 -4.08045e-14
  12 1473.73 0.00000 -6.93179e-14
</Section>

newXOutput 38

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1513.19 0.00000 8.55404e-14
  2 1513.19 0.00000 8.82267e-14
  3 1513.19 0.00000 -3.89899e-14
  4 1513.19 0.00000 -3.71381e-14
  5 1513.19 0.00000 -1.15734e-13
  6 1513.19 0.00000 -1.13204e-13
  7 1513.19 0.00000 -2.10170e-14
  8 1513.19 0.00000 -1.91228e-16
  9 1513.19 0.00000 -3.77600e-14
