newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  5 777.523 0.00000 3.84735e-14
  6 777.523 0.00000 3.48571e-14
  7 777.523 0.00000 5.14235e-14
  8 777.523 0.00000 3.55794e-14
  9 777.523 0.00000 4.39017e-14
  10 777.523 0.00000 3.61399e-14
  11 777.523 0.00000 7.23663e-14
  12 777.523 0.00000 7.55200e-14
</Section>

newXOutput 33

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 802.803 0.00000 3.61083e-14
  2 802.803 0.00000 5.99903e-14
  3 802.803 0.00000 -6.52285e-14
  4 802.803 0.00000 -4.26355e-14
  5 802.803 0.00000 4.07587e-14
  6 802.803 0.00000 3.47705e-14
  7 802.803 0.00000 7.49789e-14
  8 802.803 0.00000 5.91252e-14
  9 802.803 0.00000 7.28788e-14
  10 802.803 0.00000 -2.03405e-14
  11 802.803 0.00000 2.75277e-14
  12 802.803 0.00000 -8.87386e-14
</Section>

newXOutput 34

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 828.095 0.00000 6.19422e-14
  2 828.095 0.00000 -1.88016e-14
  3 828.095 0.00000 -4.15950e-14
  4 828.095 0.00000 -8.92100e-14
  5 828.095 0.00000 1.63896e-13
  6 828.095 0.00000 1.50783e-13
  7 828.095 0.00000 -1.27743e-13
  8 828.095 0.00000 -1.16491e-13
  9 828.095 0.00000 -1.53553e-13
  10 828.095 0.00000 3.91647e-15
  11 828.095 0.00000 -1.23070e-14
  12 828.095 0.00000 5.32619e-14
</Section>

newXOutput 35

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 853.400 0.00000 5.83451e-14
  2 853.400 0.00000 8.99361e-14
  3 853.400 0.00000 -7.96761e-15
  4 853.400 0.00000 -7.34299e-15
  5 853.400 0.00000 -4.77363e-16
  6 853.400 0.00000 -1.91511e-14
  7 853.400 0.00000 -3.98207e-13
  8 853.400 0.00000 -3.94279e-13
  9 853.400 0.00000 -2.67604e-13
  10 853.400 0.00000 -2.15380e-13
  11 853.400 0.00000 -2.25811e-13
  12 853.400 0.00000 -1.32811e-13
</Section>

newXOutput 36

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 878.717 0.00000 7.91393e-14
  2 878.717 0.00000 1.07695e-13
  3 878.717 0.00000 1.72557e-14
  4 878.717 0.00000 1.48760e-14
  5 878.717 0.00000 1.74173e-13
  6 878.717 0.00000 1.49128e-13
  7 878.717 0.00000 -1.12684e-13
  8 878.717 0.00000 -1.10323e-13
  9 878.717 0.00000 -1.78794e-13
  10 878.717 0.00000 -1.47339e-13
  11 878.717 0.00000 -1.13488e-13
  12 878.717 0.00000 -1.74414e-13
</Section>

newXOutput 37

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 904.048 0.00000 6.73740e-14
  2 904.048 0.00000 7.22495e-14
  3 904.048 0.00000 -3.26046e-14
  4 904.048 0.00000 -4.11729e-14
  5 904.048 0.00000 -1.41388e-13
  6 904.048 0.00000 -1.63291e-13
  7 904.048 0.00000 -4.90896e-14
  8 904.048 0.00000 -4.67100e-14
  9 904.048 0.00000 -1.96260e-14
  10 904.048 0.00000 2.94250e-14
  11 904.048 0.00000 4.23999e-14
  12 904.048 0.00000 1.24177e-13
</Section>

newXOutput 38

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 929.390 0.00000 1.53927e-13
  2 929.390 0.00000 1.26876e-13
  3 929.390 0.00000 -1.07752e-13
  4 929.390 0.00000 -1.27643e-13
  5 929.390 0.00000 3.25783e-14
  6 929.390 0.00000 1.66658e-14
  7 929.390 0.00000 -2.41373e-13
  8 929.390 0.00000 -2.41481e-13
  9 929.390 0.00000 -5.00100e-14
  10 929.390 0.00000 -2.70640e-14
  11 929.390 0.00000 -5.49221e-14
  12 929.390 0.00000 4.02470e-14
</Section>

newXOutput 39

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 954.746 0.00000 -1.59724e-14
  2 954.746 0.00000 -2.04971e-14
  3 954.746 0.00000 9.42295e-14
  4 954.746 0.00000 1.23262e-13
  5 954.746 0.00000 -3.94027e-14
  6 954.746 0.00000 -1.25795e-15
  7 954.746 0.00000 -1.32254e-14
  8 954.746 0.00000 -3.53832e-14
  9 954.746 0.00000 1.36258e-13
  10 954.746 0.00000 8.85256e-14
  11 954.746 0.00000 3.63459e-14
  12 954.746 0.00000 8.74543e-14
</Section>

newXOutput 40

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 980.114 0.00000 1.57902e-13
  2 980.114 0.00000 1.19872e-13
