bulk inclusion interface arclen 
-877.122 0.00000 0.00000 130.384 
-884.451 0.00000 0.00000 131.799 
-891.122 0.00000 0.00000 133.213 
-896.749 0.00000 0.00000 134.894 
-900.438 0.00000 0.00000 136.894 
-902.892 0.00000 0.00000 139.273 
-903.810 0.00000 0.00000 140.828 
-903.846 0.00000 0.00000 142.678 
-903.875 0.00000 0.00000 144.234 
-903.897 0.00000 0.00000 146.083 
-903.911 0.00000 0.00000 148.699 
-903.916 0.00000 0.00000 152.399 
-903.916 0.00000 0.00000 157.631 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
-903.916 0.00000 0.00000 157.939 
